timestamp,experiment_id,arm,run_id,purpose,model,input_tokens,output_tokens,reasoning_tokens,cached_tokens,cost_usd,cost_source,cache_hit
2026-09-22T20:36:13,A2,gemini_flash_lite,A2__gemini_flash_lite__lck-01-cor__t1,agent,google/gemini-2.5-flash-lite,1136,327,304,0,0.0002444,reported,0
2026-09-22T20:36:16,A2,gemini_flash_lite,A2__gemini_flash_lite__lck-01-cor__t1,agent,google/gemini-2.5-flash-lite,1140,772,390,0,0.0004228,reported,0
2026-09-22T20:36:36,A2,gemini_flash_lite,A2__gemini_flash_lite__lh-01-pre__t1,agent,google/gemini-2.5-flash-lite,0,0,0,0,0.0,reported,0
2026-09-22T20:36:51,A2,gemini_flash_lite,A2__gemini_flash_lite__lh-01-pre__t1,agent,google/gemini-2.5-flash-lite,926,475,355,0,0.0002826,reported,0
2026-09-22T20:36:54,A2,gemini_flash_lite,A2__gemini_flash_lite__lh-01-pre__t1,agent,google/gemini-2.5-flash-lite,1392,796,382,0,0.0004576,reported,0
2026-09-22T20:37:07,A2,gemini_flash_lite,A2__gemini_flash_lite__acc-01-pre__t1,agent,google/gemini-2.5-flash-lite,857,280,265,0,0.0001977,reported,0
2026-09-22T20:37:09,A2,gemini_flash_lite,A2__gemini_flash_lite__acc-01-pre__t1,agent,google/gemini-2.5-flash-lite,1140,373,346,0,0.0002632,reported,0
2026-09-22T20:37:12,A2,gemini_flash_lite,A2__gemini_flash_lite__acc-01-pre__t1,agent,google/gemini-2.5-flash-lite,1299,567,336,0,0.0003567,reported,0
2026-09-22T20:37:24,A2,gemini_flash_lite,A2__gemini_flash_lite__off-01-run1__t1,agent,google/gemini-2.5-flash-lite,879,476,380,0,0.0002783,reported,0
2026-09-22T20:37:34,A2,gemini_flash_lite,A2__gemini_flash_lite__off-01-run1__t1,agent,google/gemini-2.5-flash-lite,1648,796,328,0,0.0004832,reported,0
2026-09-22T20:37:37,A2,gemini_flash_lite,A2__gemini_flash_lite__off-01-run1__t1,agent,google/gemini-2.5-flash-lite,2134,796,405,1372,0.00040832,reported,0
2026-09-22T20:53:26,A2,gemini_flash_lite,A2__gemini_flash_lite__lck-01-cor__t2,agent,google/gemini-2.5-flash-lite,870,326,297,0,0.0002174,reported,0
2026-09-22T20:53:29,A2,gemini_flash_lite,A2__gemini_flash_lite__lck-01-cor__t2,agent,google/gemini-2.5-flash-lite,1015,658,388,0,0.0003647,reported,0
2026-09-22T20:53:31,A2,gemini_flash_lite,A2__gemini_flash_lite__lck-01-cor__t2,agent,google/gemini-2.5-flash-lite,1305,464,435,0,0.0003161,reported,0
2026-09-22T20:53:32,A2,gemini_flash_lite,A2__gemini_flash_lite__lck-01-cor__t2,agent,google/gemini-2.5-flash-lite,1450,270,0,0,0.000253,reported,0
2026-09-22T20:53:35,A2,gemini_flash_lite,A2__gemini_flash_lite__lh-01-pre__t2,agent,google/gemini-2.5-flash-lite,0,0,0,0,0.0,reported,0
