threshold,FCR,escalation_rate,FBR,n
0.0,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.05,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.1,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.15,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.2,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.25,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.3,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.35,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.4,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.45,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.5,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.55,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.6,0.017421602787456445,0.7804878048780488,0.2839506172839506,287
0.65,0.017421602787456445,0.7839721254355401,0.2962962962962963,287
0.7,0.017421602787456445,0.7839721254355401,0.2962962962962963,287
0.75,0.017421602787456445,0.7839721254355401,0.2962962962962963,287
0.8,0.017421602787456445,0.7874564459930313,0.30864197530864196,287
0.85,0.013937282229965157,0.794425087108014,0.32098765432098764,287
0.9,0.006968641114982578,0.8222996515679443,0.3950617283950617,287
0.95,0.0,0.9547038327526133,0.8395061728395061,287
1.0,0.0,0.9965156794425087,0.9876543209876543,287
